Output_File,AvgLapTime,Rear_Pressure
VLoutput0_00.csv,40611.333333333336,11.37812
VLoutput0_01.csv,41226.7,12.54306
VLoutput0_02.csv,41941.28571428572,14.82224
VLoutput0_03.csv,40591.71428571428,14.11274
VLoutput0_04.csv,42124.75,7.48544
VLoutput0_05.csv,41843.5,7.60754
VLoutput0_06.csv,40782.666666666664,19.8595
VLoutput0_07.csv,40895.0,13.23161
VLoutput0_08.csv,41633.333333333336,8.76294
VLoutput0_09.csv,41985.125,15.72955
VLoutput0_10.csv,40010.5,19.44935
VLoutput0_11.csv,40448.42857142857,11.02066
VLoutput0_12.csv,40122.25,17.08256
VLoutput0_13.csv,41372.666666666664,16.39999
VLoutput0_14.csv,46287.142857142855,8.13701
VLoutput0_15.csv,41684.0,16.98833
VLoutput0_16.csv,39988.2,7.15806
VLoutput0_17.csv,41787.5,12.40084
VLoutput0_18.csv,40736.2,18.07541
VLoutput0_19.csv,43912.57142857143,9.02891
VLoutput0_20.csv,40070.42857142857,19.69421
VLoutput0_21.csv,41570.6,8.24381
VLoutput0_22.csv,47500.88888888889,6.21082
VLoutput0_23.csv,41481.5,15.57597
VLoutput0_24.csv,40830.27272727273,16.94134
VLoutput0_25.csv,41268.0,14.24009
VLoutput0_26.csv,42067.25,14.75932
VLoutput0_27.csv,40711.8,18.18291
VLoutput0_28.csv,42863.42857142857,11.53837
VLoutput0_29.csv,41388.9,15.85567
VLoutput0_30.csv,41825.6,19.58432
VLoutput0_31.csv,43853.166666666664,13.7942
VLoutput0_32.csv,41475.166666666664,11.01071
VLoutput0_33.csv,41096.0,15.44194
VLoutput0_34.csv,41336.72727272727,17.39625
VLoutput0_35.csv,40078.444444444445,19.01133
VLoutput0_36.csv,40763.125,16.51761
VLoutput0_37.csv,40872.42857142857,7.1312
VLoutput0_38.csv,41008.22222222222,10.69406
VLoutput0_39.csv,46706.0,16.76262
VLoutput0_40.csv,40752.166666666664,15.63273
VLoutput0_41.csv,47815.5,16.79474
VLoutput0_42.csv,42327.25,16.59406
VLoutput0_43.csv,41441.8,16.85744
VLoutput0_44.csv,41023.0,18.92353
VLoutput0_45.csv,40747.333333333336,8.96583
VLoutput0_46.csv,41739.0,18.65337
VLoutput0_48.csv,42062.77777777778,6.97863
VLoutput0_49.csv,41662.63636363636,9.79383
VLoutput1_01.csv,41124.05263157895,9.81609
VLoutput1_02.csv,40792.0,8.8092
VLoutput1_03.csv,42669.357142857145,12.92179
VLoutput1_04.csv,40326.0,16.6901
VLoutput1_05.csv,41426.46153846154,8.46028
VLoutput1_06.csv,43156.42857142857,16.31221
VLoutput1_07.csv,41557.444444444445,16.45031
VLoutput1_08.csv,41436.86666666667,6.16511
VLoutput1_09.csv,42473.89473684211,12.26168
VLoutput1_10.csv,41385.15789473684,13.34858
VLoutput1_11.csv,43514.15789473684,15.95766
VLoutput1_12.csv,41352.07692307692,15.22723
VLoutput1_13.csv,44456.09090909091,15.58564
VLoutput1_14.csv,40630.63636363636,12.67166
VLoutput1_15.csv,40456.88888888889,15.62418
VLoutput1_16.csv,40840.27777777778,13.85508
VLoutput1_17.csv,40544.07692307692,9.31563
VLoutput1_18.csv,41263.4,7.112
VLoutput1_19.csv,40773.77777777778,12.96261
VLoutput1_20.csv,43899.8,8.44881
VLoutput1_21.csv,40651.17647058824,17.47092
VLoutput1_22.csv,41608.8,12.76861
VLoutput1_23.csv,44544.53846153846,10.35222
VLoutput1_24.csv,41562.5,14.75114
VLoutput1_25.csv,43965.8125,8.68237
VLoutput1_26.csv,40192.46153846154,16.17211
VLoutput1_27.csv,41891.76470588235,13.17604
VLoutput1_28.csv,40862.13636363636,13.52699
VLoutput1_29.csv,40447.0,11.45303
VLoutput1_30.csv,40636.0625,14.2911
VLoutput1_31.csv,40073.92307692308,14.52467
