Output_File,AvgSlip,ARB_Front
VLoutput0_00.csv,2.8795993673056794,107461.69122
VLoutput0_01.csv,2.697372449715449,144298.87666
VLoutput0_02.csv,4.733755134922692,10370.47252
VLoutput0_03.csv,5.303136073706629,66533.59626
VLoutput0_04.csv,,116731.25335
VLoutput0_05.csv,5.708001197714822,71255.11431
VLoutput0_06.csv,2.363202729673863,64554.31918
VLoutput0_07.csv,5.9099406268163,32748.5488
VLoutput0_08.csv,4.43797721502955,55124.7662
VLoutput0_09.csv,4.588165743920932,2888.93588
VLoutput0_10.csv,3.51657752129401,54928.21506
VLoutput0_11.csv,2.7988347458689202,62524.89731
VLoutput0_12.csv,2.3042841508924132,34452.99415
VLoutput0_13.csv,4.675139208557897,8856.77425
VLoutput0_14.csv,6.248351694063422,98292.74303
VLoutput0_15.csv,6.543325090813827,21869.11706
VLoutput0_16.csv,3.3760715300938244,56868.15645
VLoutput0_17.csv,6.49128214246036,41622.17863
VLoutput0_18.csv,5.965371144217818,76476.69461
VLoutput0_19.csv,6.16073928170314,35578.4807
VLoutput0_20.csv,3.786235619237902,37139.24167
VLoutput0_21.csv,6.786339749197299,123199.88134
VLoutput0_22.csv,7.712646004428628,41067.14445
VLoutput0_23.csv,3.4765620596786464,63960.03266
VLoutput0_24.csv,2.5600328671937236,28553.79245
VLoutput0_25.csv,3.5774547450438043,59958.02781
VLoutput0_26.csv,4.30536727086172,53906.9138
VLoutput0_27.csv,2.5125405989096836,59799.58865
VLoutput0_28.csv,7.974091886772448,149729.2848
VLoutput0_29.csv,5.043891762891751,33164.51917
VLoutput0_30.csv,9.11271657713853,58986.74249
VLoutput0_31.csv,9.415064864044007,120722.11997
VLoutput0_32.csv,2.5235019193353128,7207.19228
VLoutput0_33.csv,3.298322744518206,25192.29811
VLoutput0_34.csv,5.606000031663765,23877.6812
VLoutput0_35.csv,3.3477344740846537,118494.1884
VLoutput0_36.csv,2.429930924121649,128138.01588
VLoutput0_37.csv,2.6914411118713493,79472.93386
VLoutput0_38.csv,3.5109995663742932,59251.37586
VLoutput0_39.csv,7.055926264539736,66482.79449
VLoutput0_40.csv,4.246700729506306,38546.06474
VLoutput0_41.csv,7.084144266587737,147372.68971
VLoutput0_42.csv,4.109151665819534,71364.63034
VLoutput0_43.csv,3.9870550742664825,130606.71765
VLoutput0_44.csv,2.2714598818486595,142323.52821
VLoutput0_45.csv,3.0371660922689476,133504.94282
VLoutput0_46.csv,6.844137648246244,30082.51727
VLoutput0_48.csv,6.032396882573841,31760.20838
VLoutput0_49.csv,4.880838738213712,63978.27746
VLoutput1_01.csv,3.3727067861763818,144832.77726
VLoutput1_02.csv,2.667216299674364,93210.79399
VLoutput1_03.csv,6.7514523489548655,55766.89741
VLoutput1_04.csv,3.7603202492140015,68423.47673
VLoutput1_05.csv,3.1711074443674754,94146.14829
VLoutput1_06.csv,6.59996402262151,124043.0707
VLoutput1_07.csv,7.843112158487729,95003.30505
VLoutput1_08.csv,3.843816261019307,127446.3061
VLoutput1_09.csv,6.188494459447185,114413.12725
VLoutput1_10.csv,4.073202312495117,73269.28244
VLoutput1_11.csv,6.881623547956546,133492.74613
VLoutput1_12.csv,,66950.42992
VLoutput1_13.csv,4.765445487485092,80073.55155
VLoutput1_14.csv,5.301316898874478,125187.22664
VLoutput1_15.csv,5.1678894876458354,84037.95803
VLoutput1_16.csv,3.353630298071381,72088.28898
VLoutput1_17.csv,3.701912973726395,99651.54872
VLoutput1_18.csv,2.1515134322337546,25009.67519
VLoutput1_19.csv,4.145813272243406,115644.85562
VLoutput1_20.csv,6.979890788923059,61070.52942
VLoutput1_21.csv,3.5845525653292833,146054.8786
VLoutput1_22.csv,3.296171521112369,117788.48068
VLoutput1_23.csv,7.082824779007353,86560.34297
VLoutput1_24.csv,2.829763959636525,39684.28447
VLoutput1_25.csv,7.836096486800243,4544.17437
VLoutput1_26.csv,3.573740064841657,20249.78916
VLoutput1_27.csv,2.9300340283146995,147744.17883
VLoutput1_28.csv,5.207316454628087,143284.10385
VLoutput1_29.csv,2.969124327076735,87416.71882
VLoutput1_30.csv,3.068006781747386,94049.0046
VLoutput1_31.csv,2.432794151290106,76305.97548
