Output_File,AvgSlip,ARB_FrontRear&DiffCoast
VLoutput0_00.csv,2.879599367,0.23521801
VLoutput0_01.csv,2.69737245,0.221910003
VLoutput0_02.csv,4.733755135,0.063411126
VLoutput0_03.csv,5.303136074,0.245874071
VLoutput0_04.csv,,0.48942448
VLoutput0_05.csv,5.708001198,0.398759621
VLoutput0_06.csv,2.36320273,0.568821674
VLoutput0_07.csv,5.909940627,0.038764763
VLoutput0_08.csv,4.437977215,0.204611473
VLoutput0_09.csv,4.588165744,0.00826898
VLoutput0_10.csv,3.516577521,0.070026666
VLoutput0_11.csv,2.798834746,0.345733147
VLoutput0_12.csv,2.304284151,0.255602665
VLoutput0_13.csv,4.675139209,0.015353179
VLoutput0_14.csv,6.248351694,1.101982536
VLoutput0_15.csv,6.543325091,0.082470702
VLoutput0_16.csv,3.37607153,1.41033354
VLoutput0_17.csv,6.491282142,0.908767838
VLoutput0_18.csv,5.965371144,0.705114327
VLoutput0_19.csv,6.160739282,0.455356867
VLoutput0_20.csv,3.786235619,0.555696959
VLoutput0_21.csv,6.786339749,0.873637656
VLoutput0_22.csv,7.712646004,0.196487315
VLoutput0_23.csv,3.47656206,1.166542716
VLoutput0_24.csv,2.560032867,0.266947609
VLoutput0_25.csv,3.577454745,0.282744961
VLoutput0_26.csv,4.305367271,0.009635446
VLoutput0_27.csv,2.512540599,0.386348378
VLoutput0_28.csv,7.974091887,0.123268497
VLoutput0_29.csv,5.043891763,0.398179941
VLoutput0_30.csv,9.112716577,0.165246578
VLoutput0_31.csv,9.415064864,3.267428397
VLoutput0_32.csv,2.523501919,0.037429847
VLoutput0_33.csv,3.298322745,0.095084041
VLoutput0_34.csv,5.606000032,0.892935631
VLoutput0_35.csv,3.347734474,2.895001216
VLoutput0_36.csv,2.429930924,0.918063214
VLoutput0_37.csv,2.691441112,0.345093696
VLoutput0_38.csv,3.510999566,0.363616594
VLoutput0_39.csv,7.055926265,0.257915451
VLoutput0_40.csv,4.24670073,0.06563943
VLoutput0_41.csv,7.084144267,0.315286275
VLoutput0_42.csv,4.109151666,1.049187824
VLoutput0_43.csv,3.987055074,0.546950783
VLoutput0_44.csv,2.271459882,1.802781626
VLoutput0_45.csv,3.037166092,0.962119965
VLoutput0_46.csv,6.844137648,0.467269464
VLoutput0_48.csv,6.032396883,0.194865958
VLoutput0_49.csv,4.880838738,0.497764145
VLoutput1_01.csv,3.372706786,0.319614245
VLoutput1_02.csv,2.6672163,4.331535663
VLoutput1_03.csv,6.751452349,0.661677555
VLoutput1_04.csv,3.760320249,0.801458945
VLoutput1_05.csv,3.171107444,0.142804945
VLoutput1_06.csv,6.599964023,0.338290494
VLoutput1_07.csv,7.843112158,1.412550911
VLoutput1_08.csv,3.843816261,0.243863032
VLoutput1_09.csv,6.188494459,1.386998688
VLoutput1_10.csv,4.073202312,2.107636882
VLoutput1_11.csv,6.881623548,0.350620503
VLoutput1_12.csv,,0.293391881
VLoutput1_13.csv,4.765445487,0.018566989
VLoutput1_14.csv,5.301316899,3.825287434
VLoutput1_15.csv,5.167889488,0.104336043
VLoutput1_16.csv,3.353630298,0.097973601
VLoutput1_17.csv,3.701912974,0.316428442
VLoutput1_18.csv,2.151513432,1.43876611
VLoutput1_19.csv,4.145813272,1.208114393
VLoutput1_20.csv,6.979890789,1.247276638
VLoutput1_21.csv,3.584552565,0.38750324
VLoutput1_22.csv,3.296171521,0.239085489
VLoutput1_23.csv,7.082824779,1.390158715
VLoutput1_24.csv,2.82976396,0.139805764
VLoutput1_25.csv,7.836096487,0.081308537
VLoutput1_26.csv,3.573740065,0.066606067
VLoutput1_27.csv,2.930034028,0.859671292
VLoutput1_28.csv,5.207316455,1.943326579
VLoutput1_29.csv,2.969124327,0.852273011
VLoutput1_30.csv,3.068006782,0.020583395
VLoutput1_31.csv,2.432794151,0.503818909
