Output_File,AvgSlip,ARB_FrontRear&FrontToe&FrontBump&Front_Rebound
VLoutput0_00.csv,2.8795993673056794,-1050.1395771427972
VLoutput0_01.csv,2.697372449715449,54619.86215959041
VLoutput0_02.csv,4.733755134922692,2167.800321970193
VLoutput0_03.csv,5.303136073706629,18868.150926632832
VLoutput0_04.csv,,3890.564757718515
VLoutput0_05.csv,5.708001197714822,7081.716388443246
VLoutput0_06.csv,2.363202729673863,604.3656167655328
VLoutput0_07.csv,5.9099406268163,3084.007516840237
VLoutput0_08.csv,4.43797721502955,5316.04700066084
VLoutput0_09.csv,4.588165743920932,344.9548087005078
VLoutput0_10.csv,3.51657752129401,-1044.799005800907
VLoutput0_11.csv,2.7988347458689202,0.0
VLoutput0_12.csv,2.3042841508924132,1621.5098326651878
VLoutput0_13.csv,4.675139208557897,383.1326541507318
VLoutput0_14.csv,6.248351694063422,40127.63781271631
VLoutput0_15.csv,6.543325090813827,1690.7188821870088
VLoutput0_16.csv,3.3760715300938244,-1736.6906037918466
VLoutput0_17.csv,6.49128214246036,11234.06395396798
VLoutput0_18.csv,5.965371144217818,17508.651971444444
VLoutput0_19.csv,6.16073928170314,13802.880990312504
VLoutput0_20.csv,3.786235619237902,-653.6434618449387
VLoutput0_21.csv,6.786339749197299,20614.503301915007
VLoutput0_22.csv,7.712646004428628,2541.545427153185
VLoutput0_23.csv,3.4765620596786464,-9268.79537404271
VLoutput0_24.csv,2.5600328671937236,943.6340213454043
VLoutput0_25.csv,3.5774547450438043,4312.681120177462
VLoutput0_26.csv,4.30536727086172,-5630.18911116927
VLoutput0_27.csv,2.5125405989096836,-571.7089838355583
VLoutput0_28.csv,7.974091886772448,28336.28533357002
VLoutput0_29.csv,5.043891762891751,2404.024917729939
VLoutput0_30.csv,9.11271657713853,8505.927085753061
VLoutput0_31.csv,9.415064864044007,91678.44714148762
VLoutput0_32.csv,2.5235019193353128,-539.607924160987
VLoutput0_33.csv,3.298322744518206,413.36117832046517
VLoutput0_34.csv,5.606000031663765,43061.69888656869
VLoutput0_35.csv,3.3477344740846537,-10458.30887496234
VLoutput0_36.csv,2.429930924121649,-971.449112426232
VLoutput0_37.csv,2.6914411118713493,-5466.920904327066
VLoutput0_38.csv,3.5109995663742932,-1183.7292779810475
VLoutput0_39.csv,7.055926264539736,23121.648157560823
VLoutput0_40.csv,4.246700729506306,-3424.9637720078113
VLoutput0_41.csv,7.084144266802924,18829.373811056892
VLoutput0_42.csv,4.109151665819534,-9165.337578945479
VLoutput0_43.csv,3.9870550742664825,7285.58801282491
VLoutput0_44.csv,2.2714598818486595,25107.153745077416
VLoutput0_45.csv,3.0371660922689476,132.7053254884762
VLoutput0_46.csv,6.844137648246244,4857.506275499886
VLoutput0_48.csv,6.032396882573841,6106.481772770105
VLoutput0_49.csv,4.880838738213712,4649.054709262337
VLoutput1_01.csv,3.3727067861763818,-9954.55012793444
VLoutput1_02.csv,2.667216299674364,-9130.594395335906
VLoutput1_03.csv,6.7514523489548655,16535.694753770593
VLoutput1_04.csv,3.7603202492140015,92111.97412639784
VLoutput1_05.csv,3.1711074443674754,8619.06245905098
VLoutput1_06.csv,6.59996402262151,5012.7045033224085
VLoutput1_07.csv,7.843112158487729,20310.370383840323
VLoutput1_08.csv,3.843816261019307,12592.368997765067
VLoutput1_09.csv,6.188494459447185,-10438.918250840197
VLoutput1_10.csv,4.073202312495117,21223.954074256628
VLoutput1_11.csv,6.881623547956546,6978.764694511368
VLoutput1_12.csv,,7102.927190996186
VLoutput1_13.csv,4.765445487485092,4464.39664886681
VLoutput1_14.csv,5.301316898874478,108872.04611978414
VLoutput1_15.csv,5.1678894876458354,15391.788383281113
VLoutput1_16.csv,3.353630298071381,6709.60975463315
VLoutput1_17.csv,3.701912973726395,465.8876811135143
VLoutput1_18.csv,2.1515134322337546,-11616.941261249645
VLoutput1_19.csv,4.145813272243406,-99384.01734050795
VLoutput1_20.csv,6.979890788923059,14049.174320539456
VLoutput1_21.csv,3.5845525653292833,150951.52843770778
VLoutput1_22.csv,3.296171521112369,8910.891123155641
VLoutput1_23.csv,7.082824779007353,6878.775212346518
VLoutput1_24.csv,2.829763959636525,4682.491210423346
VLoutput1_25.csv,7.836096486800243,3261.722927455396
VLoutput1_26.csv,3.573740064841657,3936.263414551581
VLoutput1_27.csv,2.9300340283146995,1446.7977744461366
VLoutput1_28.csv,5.207316454628087,-17161.02644504222
VLoutput1_29.csv,2.969124327076735,7799.219329097928
VLoutput1_30.csv,3.068006781747386,-315.63000447728626
VLoutput1_31.csv,2.432794151290106,2089.8413671059234
