Output_File,AvgSlip,Front_TyrePressure
VLoutput0_00.csv,2.879599367,15.86391
VLoutput0_01.csv,2.69737245,18.67525
VLoutput0_02.csv,4.733755135,17.13329
VLoutput0_03.csv,5.303136074,11.07106
VLoutput0_04.csv,,15.9462
VLoutput0_05.csv,5.708001198,19.0497
VLoutput0_06.csv,2.36320273,15.86859
VLoutput0_07.csv,5.909940627,16.73223
VLoutput0_08.csv,4.437977215,8.12552
VLoutput0_09.csv,4.588165744,9.13666
VLoutput0_10.csv,3.516577521,10.01387
VLoutput0_11.csv,2.798834746,13.6988
VLoutput0_12.csv,2.304284151,16.95919
VLoutput0_13.csv,4.675139209,15.18241
VLoutput0_14.csv,6.248351694,17.08241
VLoutput0_15.csv,6.543325091,8.8364
VLoutput0_16.csv,3.37607153,11.35026
VLoutput0_17.csv,6.491282142,16.15599
VLoutput0_18.csv,5.965371144,14.88057
VLoutput0_19.csv,6.160739282,10.45806
VLoutput0_20.csv,3.786235619,9.58087
VLoutput0_21.csv,6.786339749,17.89771
VLoutput0_22.csv,7.712646004,12.0427
VLoutput0_23.csv,3.47656206,7.58017
VLoutput0_24.csv,2.560032867,8.46643
VLoutput0_25.csv,3.577454745,6.82856
VLoutput0_26.csv,4.305367271,16.64964
VLoutput0_27.csv,2.512540599,18.71961
VLoutput0_28.csv,7.974091887,10.04637
VLoutput0_29.csv,5.043891763,11.28374
VLoutput0_30.csv,9.112716577,7.88934
VLoutput0_31.csv,9.415064864,9.10736
VLoutput0_32.csv,2.523501919,11.18156
VLoutput0_33.csv,3.298322745,12.79409
VLoutput0_34.csv,5.606000032,6.77811
VLoutput0_35.csv,3.347734474,12.68779
VLoutput0_36.csv,2.429930924,18.34174
VLoutput0_37.csv,2.691441112,16.98283
VLoutput0_38.csv,3.510999566,14.28224
VLoutput0_39.csv,7.055926265,18.07417
VLoutput0_40.csv,4.24670073,8.88133
VLoutput0_41.csv,7.084144267,18.33393
VLoutput0_42.csv,4.109151666,8.06346
VLoutput0_43.csv,3.987055074,13.91595
VLoutput0_44.csv,2.271459882,18.57315
VLoutput0_45.csv,3.037166092,19.67627
VLoutput0_46.csv,6.844137648,19.10862
VLoutput0_48.csv,6.032396883,8.38538
VLoutput0_49.csv,4.880838738,16.47489
VLoutput1_01.csv,3.372706786,8.274
VLoutput1_02.csv,2.6672163,16.88308
VLoutput1_03.csv,6.751452349,9.68051
VLoutput1_04.csv,3.760320249,11.20927
VLoutput1_05.csv,3.171107444,16.92035
VLoutput1_06.csv,6.599964023,9.23417
VLoutput1_07.csv,7.843112158,15.35652
VLoutput1_08.csv,3.843816261,16.2586
VLoutput1_09.csv,6.188494459,6.53877
VLoutput1_10.csv,4.073202312,9.67085
VLoutput1_11.csv,6.881623548,9.48519
VLoutput1_12.csv,,9.55251
VLoutput1_13.csv,4.765445487,12.30874
VLoutput1_14.csv,5.301316899,14.88126
VLoutput1_15.csv,5.167889488,13.25014
VLoutput1_16.csv,3.353630298,12.86594
VLoutput1_17.csv,3.701912974,11.4658
VLoutput1_18.csv,2.151513432,6.23409
VLoutput1_19.csv,4.145813272,16.05069
VLoutput1_20.csv,6.979890789,13.89089
VLoutput1_21.csv,3.584552565,11.45936
VLoutput1_22.csv,3.296171521,9.42231
VLoutput1_23.csv,7.082824779,15.8943
VLoutput1_24.csv,2.82976396,9.18703
VLoutput1_25.csv,7.836096487,13.96513
VLoutput1_26.csv,3.573740065,10.6168
VLoutput1_27.csv,2.930034028,15.47607
VLoutput1_28.csv,5.207316455,7.28414
VLoutput1_29.csv,2.969124327,17.79766
VLoutput1_30.csv,3.068006782,17.16078
VLoutput1_31.csv,2.432794151,10.03854
