Output_File,AvgSlip,Rear_TyrePressure
VLoutput0_00.csv,2.8795993673056794,11.37812
VLoutput0_01.csv,2.697372449715449,12.54306
VLoutput0_02.csv,4.733755134922692,14.82224
VLoutput0_03.csv,5.303136073706629,14.11274
VLoutput0_04.csv,,7.48544
VLoutput0_05.csv,5.708001197714822,7.60754
VLoutput0_06.csv,2.363202729673863,19.8595
VLoutput0_07.csv,5.9099406268163,13.23161
VLoutput0_08.csv,4.43797721502955,8.76294
VLoutput0_09.csv,4.588165743920932,15.72955
VLoutput0_10.csv,3.51657752129401,19.44935
VLoutput0_11.csv,2.7988347458689202,11.02066
VLoutput0_12.csv,2.3042841508924132,17.08256
VLoutput0_13.csv,4.675139208557897,16.39999
VLoutput0_14.csv,6.248351694063422,8.13701
VLoutput0_15.csv,6.543325090813827,16.98833
VLoutput0_16.csv,3.3760715300938244,7.15806
VLoutput0_17.csv,6.49128214246036,12.40084
VLoutput0_18.csv,5.965371144217818,18.07541
VLoutput0_19.csv,6.16073928170314,9.02891
VLoutput0_20.csv,3.786235619237902,19.69421
VLoutput0_21.csv,6.786339749197299,8.24381
VLoutput0_22.csv,7.712646004428628,6.21082
VLoutput0_23.csv,3.4765620596786464,15.57597
VLoutput0_24.csv,2.5600328671937236,16.94134
VLoutput0_25.csv,3.5774547450438043,14.24009
VLoutput0_26.csv,4.30536727086172,14.75932
VLoutput0_27.csv,2.5125405989096836,18.18291
VLoutput0_28.csv,7.974091886772448,11.53837
VLoutput0_29.csv,5.043891762891751,15.85567
VLoutput0_30.csv,9.11271657713853,19.58432
VLoutput0_31.csv,9.415064864044007,13.7942
VLoutput0_32.csv,2.5235019193353128,11.01071
VLoutput0_33.csv,3.298322744518206,15.44194
VLoutput0_34.csv,5.606000031663765,17.39625
VLoutput0_35.csv,3.3477344740846537,19.01133
VLoutput0_36.csv,2.429930924121649,16.51761
VLoutput0_37.csv,2.6914411118713493,7.1312
VLoutput0_38.csv,3.5109995663742932,10.69406
VLoutput0_39.csv,7.055926264539736,16.76262
VLoutput0_40.csv,4.246700729506306,15.63273
VLoutput0_41.csv,7.084144266587737,16.79474
VLoutput0_42.csv,4.109151665819534,16.59406
VLoutput0_43.csv,3.9870550742664825,16.85744
VLoutput0_44.csv,2.2714598818486595,18.92353
VLoutput0_45.csv,3.0371660922689476,8.96583
VLoutput0_46.csv,6.844137648246244,18.65337
VLoutput0_48.csv,6.032396882573841,6.97863
VLoutput0_49.csv,4.880838738213712,9.79383
VLoutput1_01.csv,3.3727067861763818,9.81609
VLoutput1_02.csv,2.667216299674364,8.8092
VLoutput1_03.csv,6.7514523489548655,12.92179
VLoutput1_04.csv,3.7603202492140015,16.6901
VLoutput1_05.csv,3.1711074443674754,8.46028
VLoutput1_06.csv,6.59996402262151,16.31221
VLoutput1_07.csv,7.843112158487729,16.45031
VLoutput1_08.csv,3.843816261019307,6.16511
VLoutput1_09.csv,6.188494459447185,12.26168
VLoutput1_10.csv,4.073202312495117,13.34858
VLoutput1_11.csv,6.881623547956546,15.95766
VLoutput1_12.csv,,15.22723
VLoutput1_13.csv,4.765445487485092,15.58564
VLoutput1_14.csv,5.301316898874478,12.67166
VLoutput1_15.csv,5.1678894876458354,15.62418
VLoutput1_16.csv,3.353630298071381,13.85508
VLoutput1_17.csv,3.701912973726395,9.31563
VLoutput1_18.csv,2.1515134322337546,7.112
VLoutput1_19.csv,4.145813272243406,12.96261
VLoutput1_20.csv,6.979890788923059,8.44881
VLoutput1_21.csv,3.5845525653292833,17.47092
VLoutput1_22.csv,3.296171521112369,12.76861
VLoutput1_23.csv,7.082824779007353,10.35222
VLoutput1_24.csv,2.829763959636525,14.75114
VLoutput1_25.csv,7.836096486800243,8.68237
VLoutput1_26.csv,3.573740064841657,16.17211
VLoutput1_27.csv,2.9300340283146995,13.17604
VLoutput1_28.csv,5.207316454628087,13.52699
VLoutput1_29.csv,2.969124327076735,11.45303
VLoutput1_30.csv,3.068006781747386,14.2911
VLoutput1_31.csv,2.432794151290106,14.52467
