Output_File,AvgSlip,ARB_Front
VLoutput0_00.csv,-0.766545708,107461.6912
VLoutput0_01.csv,-0.35667636,144298.8767
VLoutput0_02.csv,-0.331930233,10370.47252
VLoutput0_03.csv,-0.682414992,66533.59626
VLoutput0_04.csv,0.149818191,116731.2534
VLoutput0_05.csv,-0.086542659,71255.11431
VLoutput0_06.csv,0.154601391,64554.31918
VLoutput0_07.csv,-0.319147771,32748.5488
VLoutput0_08.csv,-0.456618478,55124.7662
VLoutput0_09.csv,-0.349223817,2888.93588
VLoutput0_10.csv,-0.849444675,54928.21506
VLoutput0_11.csv,0.107902631,62524.89731
VLoutput0_12.csv,0.04950126,34452.99415
VLoutput0_13.csv,0.162189041,8856.77425
VLoutput0_14.csv,-0.163550846,98292.74303
VLoutput0_15.csv,-0.709439197,21869.11706
VLoutput0_16.csv,-0.482200393,56868.15645
VLoutput0_17.csv,-0.09024941,41622.17863
VLoutput0_18.csv,0.067499,76476.69461
VLoutput0_19.csv,0.130314856,35578.4807
VLoutput0_20.csv,-0.901960124,37139.24167
VLoutput0_21.csv,-0.180992833,123199.8813
VLoutput0_22.csv,0.179419026,41067.14445
VLoutput0_23.csv,-0.990317943,63960.03266
VLoutput0_24.csv,-0.544306477,28553.79245
VLoutput0_25.csv,-0.260389736,59958.02781
VLoutput0_26.csv,-0.072612163,53906.9138
VLoutput0_27.csv,-0.25585817,59799.58865
VLoutput0_28.csv,0.087023882,149729.2848
VLoutput0_29.csv,-0.129160733,33164.51917
VLoutput0_30.csv,-0.453700348,58986.74249
VLoutput0_31.csv,-0.301731273,120722.12
VLoutput0_32.csv,-0.281940075,7207.19228
VLoutput0_33.csv,-0.904788018,25192.29811
VLoutput0_34.csv,-0.418505221,23877.6812
VLoutput0_35.csv,-0.502654259,118494.1884
VLoutput0_36.csv,-0.485432598,128138.0159
VLoutput0_37.csv,0.021244417,79472.93386
VLoutput0_38.csv,-0.681532386,59251.37586
VLoutput0_39.csv,-0.163358258,66482.79449
VLoutput0_40.csv,-1.321736944,38546.06474
VLoutput0_41.csv,-0.037510403,147372.6897
VLoutput0_42.csv,-0.426700622,71364.63034
VLoutput0_43.csv,-0.177404674,130606.7177
VLoutput0_44.csv,0.264473404,142323.5282
VLoutput0_45.csv,-0.469646431,133504.9428
VLoutput0_46.csv,0.157914714,30082.51727
VLoutput0_48.csv,-0.250363383,31760.20838
VLoutput0_49.csv,0.415826153,63978.27746
VLoutput1_01.csv,-0.67285734,144832.7773
VLoutput1_02.csv,-0.292803824,93210.79399
VLoutput1_03.csv,-0.145704002,55766.89741
VLoutput1_04.csv,-0.228707882,68423.47673
VLoutput1_05.csv,-0.421315141,94146.14829
VLoutput1_06.csv,-0.269472098,124043.0707
VLoutput1_07.csv,0.278945687,95003.30505
VLoutput1_08.csv,-0.82238777,127446.3061
VLoutput1_09.csv,-0.115380501,114413.1273
VLoutput1_10.csv,-0.943427048,73269.28244
VLoutput1_11.csv,0.088387488,133492.7461
VLoutput1_12.csv,-0.202042376,66950.42992
VLoutput1_13.csv,-0.037345497,80073.55155
VLoutput1_14.csv,-0.420787851,125187.2266
VLoutput1_15.csv,-0.446798046,84037.95803
VLoutput1_16.csv,-0.962866155,72088.28898
VLoutput1_17.csv,-0.95274698,99651.54872
VLoutput1_18.csv,0.171247508,25009.67519
VLoutput1_19.csv,0.003326171,115644.8556
VLoutput1_20.csv,-0.004419372,61070.52942
VLoutput1_21.csv,-0.681063033,146054.8786
VLoutput1_22.csv,-0.727081356,117788.4807
VLoutput1_23.csv,-0.307398667,86560.34297
VLoutput1_24.csv,-0.085255348,39684.28447
VLoutput1_25.csv,-0.205215253,4544.17437
VLoutput1_26.csv,-0.108415559,20249.78916
VLoutput1_27.csv,0.028740561,147744.1788
VLoutput1_28.csv,0.223309795,143284.1039
VLoutput1_29.csv,-0.74174058,87416.71882
VLoutput1_30.csv,-0.614754722,94049.0046
VLoutput1_31.csv,0.222852215,76305.97548
