Output_File,AvgSlip,Suspension & Pressure
VLoutput0_00.csv,2.8795993673056794,-28607.933864711395
VLoutput0_01.csv,2.697372449715449,1705139.7890553628
VLoutput0_02.csv,4.733755134922692,69273.20822272816
VLoutput0_03.csv,5.303136073706629,475171.73930613586
VLoutput0_04.csv,,91162.31279954746
VLoutput0_05.csv,5.708001197714822,188779.01337866485
VLoutput0_06.csv,2.363202729673863,21592.829148704466
VLoutput0_07.csv,5.9099406268163,92408.70779339816
VLoutput0_08.csv,4.43797721502955,89779.84712878059
VLoutput0_09.csv,4.588165743920932,8577.718713656654
VLoutput0_10.csv,3.51657752129401,-30783.1429636934
VLoutput0_11.csv,2.7988347458689202,0.0
VLoutput0_12.csv,2.3042841508924132,55199.03234613016
VLoutput0_13.csv,4.675139208557897,12100.248736450072
VLoutput0_14.csv,6.248351694063422,1011995.7516067739
VLoutput0_15.csv,6.543325090813827,43662.358638381316
VLoutput0_16.csv,3.3760715300938244,-32143.225435972712
VLoutput0_17.csv,6.49128214246036,320809.2545425914
VLoutput0_18.csv,5.965371144217818,577014.7841978837
VLoutput0_19.csv,6.16073928170314,268976.32777179003
VLoutput0_20.csv,3.786235619237902,-19135.46463698753
VLoutput0_21.csv,6.786339749197299,538894.4503570772
VLoutput0_22.csv,7.712646004428628,46392.15028544921
VLoutput0_23.csv,3.4765620596786464,-214629.52331268534
VLoutput0_24.csv,2.5600328671937236,23975.636178519122
VLoutput0_25.csv,3.5774547450438043,90862.36908262689
VLoutput0_26.csv,4.30536727086172,-176838.38458515116
VLoutput0_27.csv,2.5125405989096836,-21097.502210171366
VLoutput0_28.csv,7.974091886772448,611631.3514909222
VLoutput0_29.csv,5.043891762891751,65243.817892489074
VLoutput0_30.csv,9.11271657713853,233688.94873877047
VLoutput0_31.csv,9.415064864044007,2099579.457917607
VLoutput0_32.csv,2.5235019193353128,-11975.124747120146
VLoutput0_33.csv,3.298322744518206,11671.678631892004
VLoutput0_34.csv,5.606000031663765,1040989.0110955106
VLoutput0_35.csv,3.3477344740846537,-331519.18802449625
VLoutput0_36.csv,2.429930924121649,-33864.08461725538
VLoutput0_37.csv,2.6914411118713493,-131829.49469457
VLoutput0_38.csv,3.5109995663742932,-29565.177565638038
VLoutput0_39.csv,7.055926264539736,805484.0013188332
VLoutput0_40.csv,4.246700729506306,-83959.7674048258
VLoutput0_41.csv,7.084144266802924,661450.85891526
VLoutput0_42.csv,4.109151665819534,-225994.4946595997
VLoutput0_43.csv,3.9870550742664825,224202.24129798595
VLoutput0_44.csv,2.2714598818486595,941434.9096899694
VLoutput0_45.csv,3.0371660922689476,3800.959203173484
VLoutput0_46.csv,6.844137648246244,183429.10340036394
VLoutput0_48.csv,6.032396882573841,93820.04702165762
VLoutput0_49.csv,4.880838738213712,122124.71642229374
VLoutput1_01.csv,3.3727067861763818,-180078.70772384555
VLoutput1_02.csv,2.667216299674364,-234585.7877714008
VLoutput1_03.csv,6.7514523489548655,373744.73353314906
VLoutput1_04.csv,3.7603202492140015,2569866.0475828
VLoutput1_05.csv,3.1711074443674754,218757.23522006304
VLoutput1_06.csv,6.59996402262151,128056.45406958551
VLoutput1_07.csv,7.843112158487729,646008.498035844
VLoutput1_08.csv,3.843816261019307,282367.6306188745
VLoutput1_09.csv,6.188494459447185,-196256.3606290086
VLoutput1_10.csv,4.073202312495117,488563.32513556525
VLoutput1_11.csv,6.881623548092632,177559.66330774856
VLoutput1_12.csv,,176008.68903181583
VLoutput1_13.csv,4.765445487485092,124531.57659421736
VLoutput1_14.csv,5.301316898874478,2999742.7769747227
VLoutput1_15.csv,5.1678894876458354,444427.4231511415
VLoutput1_16.csv,3.353630298071381,179287.6164457475
VLoutput1_17.csv,3.701912973726395,9681.812232922819
VLoutput1_18.csv,2.1515134322337546,-155040.74359735128
VLoutput1_19.csv,4.145813272243406,-2883458.31030536
VLoutput1_20.csv,6.979890788923059,313854.3395685553
VLoutput1_21.csv,3.5845525653292833,4367069.984130848
VLoutput1_22.csv,3.296171521112369,197740.87204265696
VLoutput1_23.csv,7.082824779007353,180543.91118635715
VLoutput1_24.csv,2.829763959636525,112090.27061861983
VLoutput1_25.csv,7.836096486800243,73869.86999954609
VLoutput1_26.csv,3.573740064841657,105448.206348715
VLoutput1_27.csv,2.9300340283146995,41453.808981185895
VLoutput1_28.csv,5.207316454628087,-357140.3522812114
VLoutput1_29.csv,2.969124327076735,228132.54683745146
VLoutput1_30.csv,3.068006781747386,-9927.15702521907
VLoutput1_31.csv,2.432794151290106,51333.21236690989
