,lap time,average slip
0,2.0560232460398455,40306
1,1.7247114967507062,41119
2,2.0655598296899185,41851
3,2.466374827921419,40439
4,1.519973315267332,40841
5,1.9300718008542745,41764
6,1.3598907651061722,40649
7,2.1216044963973086,40841
8,1.8508904501984886,41400
9,2.0872533272632148,41863
10,2.625619050205258,39897
11,1.8768819669656995,40191
12,1.7738738075617473,40069
13,1.5480295546212266,41284
14,2.43551706200009,46205
15,2.7043343464212435,41522
16,2.5242567860395937,39791
17,2.4406812814212575,41682
18,2.0306580410167516,40588
19,2.6767881334499903,43802
20,2.554229994390204,39739
21,2.1780616495598837,41404
22,3.1750942378518574,47012
23,2.515221522669907,41040
24,1.937043573722773,40762
25,2.3764158308846106,40982
26,2.2098987040587192,41944
27,1.759269377099903,40600
28,2.7117472195518273,42672
29,1.9539076292172426,41222
30,3.0175894712952904,41763
31,2.7253933955511362,43667
32,1.8658324556364476,41190
33,2.243380714069482,40959
34,2.2446578168824356,41197
35,2.3168875886710696,39968
36,1.7769083578500946,40671
37,1.8551847912690664,40476
38,2.1173647027235605,40861
39,2.7276680874235244,46189
40,3.2161695362920772,40645
41,2.9827690305905685,47604
42,2.5692865250777164,42120
43,2.214639006129078,41301
44,1.5468270459803337,40916
45,1.7941892986696188,40625
46,1.9191056472639538,41468
47,2.944755054222764,52692
48,2.8826198602149966,41973
49,1.8078011544517207,41562
50,3.248159356834067,44468
51,2.432347504331593,41199
52,2.132623862272479,41011
53,1.9599803836559937,40054
54,2.7577383693533926,42527
55,1.879842708447775,40105
56,2.0324319415381855,40863
57,2.2423852284825827,43067
58,2.1710397059288518,41409
59,2.5242223732503812,41109
60,2.0689252766351287,42016
61,2.2080479717370327,41151
62,2.917137204509954,43404
63,2.193901596735553,40708
64,2.61185108244167,44232
65,2.09116326603425,40468
66,2.211863129085588,40265
67,2.3759477081183005,40502
68,2.9205136397961,40233
69,1.4750103462133772,41053
70,1.9186025750604645,40618
71,2.9697185962926387,43735
72,2.3547337815094727,40444
73,2.154140671793287,41475
74,3.169975578031907,44359
75,1.913773876231491,41308
76,2.764770111455265,43846
77,1.796884004690691,40034
78,1.6037932214525232,41702
79,1.729984520653786,40681
80,1.9690679851936808,40199
81,1.9032912950595753,40204
82,1.7704807498613344,39689
83,3.248159356834067,44468
84,2.056023246030917,40306
85,1.7247114967507062,41119
86,2.0655598296899185,41851
87,2.466374827921419,40439
88,1.519973315267332,40841
89,1.9300718008542745,41764
90,1.3598907651061722,40649
91,2.1216044963973086,40841
92,1.8508904501984886,41400
93,2.0872533272632148,41863
94,2.625619050205258,39897
95,1.8768819669656995,40191
96,1.7738738075617473,40069
97,1.5480295546212266,41284
98,2.43551706200009,46205
99,2.7043343464212435,41522
100,2.5242567860395937,39791
101,2.4406812814212575,41682
102,2.0306580410167516,40588
103,2.6767881334499903,43802
104,2.554229994390204,39739
105,2.1780616495598837,41404
106,3.1750942378518574,47012
107,2.515221522669907,41040
108,1.937043573722773,40762
109,2.3764158308846106,40982
110,2.2098987040587192,41944
111,1.759269377099903,40600
112,2.7117472195518273,42672
113,1.9539076292172426,41222
114,3.0175894712952904,41763
115,2.7253933955511362,43667
116,1.8658324556364476,41190
117,2.243380714069482,40959
118,2.2446578168824356,41197
119,2.3168875886710696,39968
120,1.7769083578500946,40671
121,1.8551847912690664,40476
122,2.1173647027235605,40861
123,2.7276680874235244,46189
124,3.2161695362920772,40645
125,2.9827690305905685,47604
126,2.5692865250777164,42120
127,2.214639006129078,41301
128,1.5468270459803337,40916
129,1.7941892986696188,40625
130,1.9191056472639538,41468
131,2.944755054222764,52692
132,2.8826198602149966,41973
133,1.8078011544517207,41562
134,3.248159356834067,44468
